hashId,event_count,unique_viewers,avg_time_spent
006ltwgp-1,18,12,9.312777777777777
006ltwgp-2,543,443,8.517141804788213
00jltjxg-1,335,273,5.174680597014926
00wj0hjn-2,1,1,0.304
01cq74z9-1,7,3,4.922
02f6cnqd-1,1064,614,10.363563909774436
02gotjip-1,5,2,2.5278
02ysabxu-1,377,288,9.005031830238726
03nyfhlm-1,336,281,6.370541666666666
04j56og7-1,326,254,7.199849693251533
04l0ky7a-1,21,19,3.179952380952381
04l0ky7a-2,306,243,6.40956862745098
0557kp9f-1,3,2,5.931
057utvbu-1,292,244,4.761150684931507
05qgrk1m-1,319,259,4.483316614420063
06fomoq4-1,1,1,0.507
06lnaimy-1,2,2,16.191499999999998
06qlgewh-1,1,1,10.283
077ufirb-1,1,1,0.577
07ekycfq-1,1,1,19.849
07ekycfq-2,2,2,4.4555
07hjfw6p-1,271,220,5.889073800738007
07k6afam-1,365,294,9.158090410958904
07nzrfal-1,11,10,6.854454545454545
07nzrfal-2,293,229,5.847317406143345
07o7jswz-1,1,1,0.36
07ov7cef-1,189,159,173.839582010582
088jxbot-1,1,1,0.382
08in7vjv-1,1,1,1.366
08jebdjn-1,33,27,6.1282424242424245
08jebdjn-2,409,334,7.270366748166259
097ocmcn-1,11,11,9.768727272727274
097ocmcn-2,327,258,4.952140672782875
0986uyxk-1,438,337,5.679002283105023
09omdauy-1,20,17,6.36035
09omdauy-2,340,271,4.50925
0abqlun8-1,1,1,11.754
0aiuvvva-1,890,577,15.112847191011236
0albosw7-1,2,1,5.930000000000001
0aotog5l-1,237,207,5.400957805907173
0au5hwjw-1,3,3,4.2700000000000005
0auuyhzg-1,334,267,4.214335329341317
0aw7rlgk-1,3,2,1.3266666666666667
0ayqqh6k-1,2,1,0.9015000000000001
0bbphfp9-1,685,526,7.49963211678832
0bdnu2xz-1,4,3,7.4872499999999995
0be3lbub-1,731,560,9.458294117647059
0bg9qfoe-1,347,281,5.532835734870317
0bhcy4pp-1,21,19,4.597904761904762
0bhcy4pp-2,291,245,4.443168384879725
0bhftsnq-1,1,1,1.081
0bngg4yg-1,583,481,12.114722126929674
0bnqkwmz-1,394,333,4.717497461928934
0brqszsl-1,20,17,5.48635
0brqszsl-2,298,233,4.5695973154362415
0bwleglu-1,447,359,6.405326621923938
0c3w8acs-1,4,2,3.6434999999999995
0c4oehd8-1,571,417,10.752500875656743
0c7cobbx-1,306,254,7.3199869281045755
0cc713di-1,307,242,5.6924495114006515
0cf2x2ln-1,493,381,7.150697768762678
0cikhw6a-1,296,242,7.3517060810810815
0cjtoum0-1,3,2,1.3206666666666667
