deviceId,event_count,total_time_spent,unique_content_count,first_seen,last_seen,active_days
0002d448-f398-44d8-8806-df93d1dc770b,369,2384.661,316,2023-06-27 04:13:22,2023-07-18 14:03:21,22
000d4df6-dbdd-4438-8456-e23a6f52e1c5,2164,23894.712,1838,2023-06-27 07:36:40,2023-07-25 21:40:45,29
00198103-e45e-4b33-804b-84ff19562d62,1832,21090.126,1289,2023-06-30 12:32:56,2023-07-25 13:24:35,26
002a4793-c451-4916-b6c4-6a31c98cbd7c,1,7.118,1,2023-07-04 08:21:01,2023-07-04 08:21:01,1
002da5aa-573b-441c-941b-df5597f1637e,287,1917.221,245,2023-06-27 17:59:24,2023-07-25 10:13:50,28
0035f7db-5409-462d-8a8d-f91878bd89f7,337,4003.252,287,2023-06-27 03:02:06,2023-07-25 05:07:19,29
004108da-d407-4d0d-b59d-32d61bb58e4b,179,1812.57,152,2023-07-09 12:08:59,2023-07-18 16:04:30,10
0043e8d6-dff5-425a-9f99-1e0c832cde14,1,6.229,1,2023-07-10 13:26:58,2023-07-10 13:26:58,1
0044ee83-dfb3-405b-b5a0-15ffba8f1913,129,1404.634,108,2023-06-28 08:39:10,2023-07-25 14:22:19,28
00487ae1-3ba7-44ed-9396-ed9d07275368,11,63.213,11,2023-06-28 09:18:18,2023-07-19 07:05:12,21
004e03ed-a9c5-43b8-bef9-bc5bbeac0eeb,17,166.485,14,2023-07-04 16:17:53,2023-07-22 11:38:21,18
00715e35-b675-489d-8ac6-ee62635cf215,5,39.0,4,2023-07-08 03:38:28,2023-07-21 16:03:17,14
007ebf39-df66-4a4f-9e97-03ff105cf22a,90,1548.785,75,2023-06-28 00:05:39,2023-07-22 17:19:59,25
007f3539-8d09-43fe-807b-63864666dc6c,9,35.034,4,2023-07-12 10:34:38,2023-07-12 10:52:14,1
008b2665-dd2d-4a96-9e43-8d798adb8cb2,37,111.462,28,2023-07-12 01:15:08,2023-07-12 01:18:55,1
00998900-9bae-4933-8f0e-baed6794f15e,144,2017.122,112,2023-06-29 16:30:26,2023-07-22 16:53:59,24
009b395b-e2be-4739-8f0a-22dacf430e5a,1,4.382,1,2023-07-14 06:25:58,2023-07-14 06:25:58,1
00a166dc-b7d4-42b4-a10f-3903259e2430,1,5.466,1,2023-07-22 14:02:52,2023-07-22 14:02:52,1
00a4a70a-e3bf-418c-b401-07c3fa127df2,8,13.687,4,2023-07-15 15:54:38,2023-07-15 15:54:54,1
00ba198b-8278-46b0-9532-13b3155c95d4,318,2902.034,249,2023-06-27 04:14:26,2023-07-24 17:44:54,28
00bc933f-9a53-4269-ba8d-f383f8f21b00,163,1351.925,132,2023-06-28 14:46:18,2023-07-19 16:40:57,22
00be93c4-ba45-4f34-bf99-169a899277f2,226,5811.825,148,2023-06-28 08:32:22,2023-07-21 15:25:52,24
00c60322-d7ea-4aa4-b404-1c0af9f20e90,183,2329.152,112,2023-06-27 17:17:47,2023-07-25 16:39:18,28
00ce85ed-bf2c-4636-98db-dc25524579a6,304,5811.183,226,2023-06-28 04:32:13,2023-07-25 08:28:18,28
00dbb969-aa36-46a3-943a-e5f83ec50bc5,1,1.599,1,2023-07-06 10:27:39,2023-07-06 10:27:39,1
00e3e569-00e0-45b6-926b-54b970b41b3e,2355,8243.572,1974,2023-06-27 04:06:49,2023-07-25 04:03:38,28
00f46ec2-de89-4527-956d-184ca27ba9f7,280,3018.689,241,2023-06-27 02:41:56,2023-07-25 15:23:06,29
00f7216e-1cac-4537-b41f-f5ee94a5e927,4,17.903,4,2023-07-02 02:48:57,2023-07-21 14:37:06,20
01019559-6f37-44f6-87db-283532cf2db0,1,3.151,1,2023-07-22 14:09:31,2023-07-22 14:09:31,1
01170d14-15d1-4c3f-af1b-37090e6b1b81,553,3221.614,397,2023-06-27 11:34:15,2023-07-19 07:27:15,22
011a0d8c-f8ae-4a00-98e8-7db00ee42908,274,2826.767,206,2023-06-29 07:08:32,2023-07-24 03:11:46,25
011c3b48-0d00-4069-89f0-1fbdb3ac0f08,29,446.617,26,2023-06-27 15:30:27,2023-07-18 18:09:00,22
01235073-4b98-4fa4-895e-70e02a26ac41,10,14.891,5,2023-07-25 14:17:17,2023-07-25 15:27:31,1
012a94ce-c9ac-4a0a-a10f-06e97e1e6d31,38,122.523,8,2023-07-12 12:04:09,2023-07-12 16:05:29,1
012bb4a5-1065-43ef-a778-ed67a48fc626,19,203.442,19,2023-06-27 08:11:01,2023-07-25 17:56:32,29
01309a4f-1807-4a80-b913-3f1ee81e57d3,2359,38235.178,2061,2023-06-27 16:06:50,2023-07-25 14:12:52,28
